"provincia_id","provincia_desc","año","recetas_confeccionadas_cantidad"
"02","Ciudad Autonoma de Buenos Aires","año_2003",167578
"06","Buenos Aires","año_2003",3123038
"10","Catamarca","año_2003",149120
"14","Cordoba","año_2003",977247
"18","Corrientes","año_2003",352165
"22","Chaco","año_2003",551906
"26","Chubut","año_2003",113193
"30","Entre Rios","año_2003",477469
"34","Formosa","año_2003",244323
"38","Jujuy","año_2003",246180
"42","La Pampa","año_2003",89580
"46","La Rioja","año_2003",179178
"50","Mendoza","año_2003",581158
"54","Misiones","año_2003",315086
"58","Neuquen","año_2003",120168
"62","Rio Negro","año_2003",136924
"66","Salta","año_2003",339249
"70","San Juan","año_2003",222140
"74","San Luis","año_2003",179084
"78","Santa Cruz","año_2003",8099
"82","Santa Fe","año_2003",863259
"86","Santiago del Estero","año_2003",361786
"90","Tucuman","año_2003",677249
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2003",26346
"02","Ciudad Autonoma de Buenos Aires","año_2004",214006
"06","Buenos Aires","año_2004",3916997
"10","Catamarca","año_2004",268093
"14","Cordoba","año_2004",1470119
"18","Corrientes","año_2004",534945
"22","Chaco","año_2004",842489
"26","Chubut","año_2004",153779
"30","Entre Rios","año_2004",735472
"34","Formosa","año_2004",350553
"38","Jujuy","año_2004",350004
"42","La Pampa","año_2004",120775
"46","La Rioja","año_2004",275113
"50","Mendoza","año_2004",749959
"54","Misiones","año_2004",572572
"58","Neuquen","año_2004",150704
"62","Rio Negro","año_2004",179606
"66","Salta","año_2004",604382
"70","San Juan","año_2004",320252
"74","San Luis","año_2004",242569
"78","Santa Cruz","año_2004",36306
"82","Santa Fe","año_2004",1103931
"86","Santiago del Estero","año_2004",613726
"90","Tucuman","año_2004",1073573
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2004",30295
"02","Ciudad Autonoma de Buenos Aires","año_2005",218813
"06","Buenos Aires","año_2005",3899943
"10","Catamarca","año_2005",278804
"14","Cordoba","año_2005",1441383
"18","Corrientes","año_2005",619386
"22","Chaco","año_2005",832674
"26","Chubut","año_2005",157571
"30","Entre Rios","año_2005",682877
"34","Formosa","año_2005",431918
"38","Jujuy","año_2005",377868
"42","La Pampa","año_2005",130313
"46","La Rioja","año_2005",274722
"50","Mendoza","año_2005",758531
"54","Misiones","año_2005",634515
"58","Neuquen","año_2005",100612
"62","Rio Negro","año_2005",180655
"66","Salta","año_2005",644217
"70","San Juan","año_2005",340088
"74","San Luis","año_2005",231063
"78","Santa Cruz","año_2005",35998
"82","Santa Fe","año_2005",1187775
"86","Santiago del Estero","año_2005",641803
"90","Tucuman","año_2005",1077449
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2005",31392
"02","Ciudad Autonoma de Buenos Aires","año_2006",226738
"06","Buenos Aires","año_2006",4139859
"10","Catamarca","año_2006",304047
"14","Cordoba","año_2006",1534470
"18","Corrientes","año_2006",660748
"22","Chaco","año_2006",913629
"26","Chubut","año_2006",189124
"30","Entre Rios","año_2006",743906
"34","Formosa","año_2006",487998
"38","Jujuy","año_2006",413994
"42","La Pampa","año_2006",140026
"46","La Rioja","año_2006",276525
"50","Mendoza","año_2006",758331
"54","Misiones","año_2006",706362
"58","Neuquen","año_2006",112807
"62","Rio Negro","año_2006",214944
"66","Salta","año_2006",710418
"70","San Juan","año_2006",387074
"74","San Luis","año_2006",258240
"78","Santa Cruz","año_2006",39478
"82","Santa Fe","año_2006",1226772
"86","Santiago del Estero","año_2006",739376
"90","Tucuman","año_2006",1159370
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2006",34135
"02","Ciudad Autonoma de Buenos Aires","año_2007",210232
"06","Buenos Aires","año_2007",3779001
"10","Catamarca","año_2007",321621
"14","Cordoba","año_2007",1461669
"18","Corrientes","año_2007",680236
"22","Chaco","año_2007",861813
"26","Chubut","año_2007",188409
"30","Entre Rios","año_2007",699162
"34","Formosa","año_2007",473970
